id,name,type,taluka,zone_group,pin_codes,aliases,status,confidence,needs_review,coordinates_source,source_ids,last_updated
area:alkapuri:632f2245,Alkapuri,locality,Vadodara,West,390005; 390007,,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:sayajigunj:b887a142,Sayajigunj,locality,Vadodara,Central,390005; 390020,Sayaji Gunj,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:fatehgunj:9e9a3f04,Fatehgunj,locality,Vadodara,North,390002,Fateh Gunj,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:karelibaug:e37910b3,Karelibaug,locality,Vadodara,East,390018,Kareli Baug; Karelibag,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:harni:8a56789a,Harni,locality,Vadodara,East,390022,,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:sama:27605661,Sama,locality,Vadodara,North,390008; 390024,Sama-Savli,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:gotri:3d7ddfe3,Gotri,locality,Vadodara,West,390021,Gotri Road,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:akota:9ca50389,Akota,locality,Vadodara,West,390020,Akota Gardens,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:manjalpur:9449d96c,Manjalpur,locality,Vadodara,South,390011,,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:nizampura:8e262396,Nizampura,locality,Vadodara,North,390002,,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:subhanpura:74de97a3,Subhanpura,locality,Vadodara,West,390023,,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:vasna:79c9af8c,Vasna,locality,Vadodara,West,390007; 390015,Vasna Road; Vasna-Bhayli,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:tandalja:804f8902,Tandalja,locality,Vadodara,West,390012,Tandalja Road,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:old-padra-road:0453df14,Old Padra Road,locality,Vadodara,West,390007; 390015,OP Road; O P Road,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:ellora-park:e119f7a9,Ellora Park,locality,Vadodara,West,390023,Ellorapark,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:race-course:94a9e3ed,Race Course,locality,Vadodara,Central,390007,Racecourse,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:makarpura:a36baf2c,Makarpura,locality,Vadodara,South,390009; 390010; 390013,Makarpura GIDC,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:gorwa:d9d70451,Gorwa,locality,Vadodara,North,390016,BIDC Gorwa,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:chhani:4234dcfd,Chhani,locality,Vadodara,North,391740,Chani; Chhani Jakat Naka,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:ajwa-road:476950d0,Ajwa Road,locality,Vadodara,East,390019,Ajwa,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:dandia-bazar:b0e76c5d,Dandia Bazar,locality,Vadodara,Central,390001,Dandiya Bazar,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:mandvi:7367a821,Mandvi,locality,Vadodara,Central,390001,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:raopura:ff7458bf,Raopura,locality,Vadodara,Central,390001,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:wadi:167f8059,Wadi,locality,Vadodara,Central,390017,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:pratapnagar:a2858aa8,Pratapnagar,locality,Vadodara,South,390004,Pratap Nagar,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:bapod:b26c09ad,Bapod,locality,Vadodara,East,390019,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:vemali:2cbe45c7,Vemali,locality,Vadodara,East,390025,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:diwalipura:17b2f4d0,Diwalipura,locality,Vadodara,West,390015,Diwali Pura; Divalipura,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:waghodia-road:41939138,Waghodia Road,locality,Vadodara,East,390019,Vaghodia Road,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:atladara:f6e616da,Atladara,locality,Vadodara,West,390012,Sun Pharma Road,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:manisha:6183722d,Manisha,locality,Vadodara,West,390015,Manisha Circle,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:vadsar:d4221106,Vadsar,locality,Vadodara,South,390010,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:tarsali:11e0f785,Tarsali,locality,Vadodara,South,390009,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:vadiwadi:61c8752c,Vadiwadi,locality,Vadodara,,,,single_source_needs_review,0.4,True,demo_fixture,src.seed.curated,2026-07-20T14:26:48+00:00
area:pratapgunj:8351adaa,Pratapgunj,locality,Vadodara,,,Pratap Gunj,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:fatehpura:c59f80ba,Fatehpura,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:amit-nagar:23df0907,Amit Nagar,locality,Vadodara,,,Amitnagar,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:nagarwada:37fb25f4,Nagarwada,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:panigate:8ccdcaa8,Panigate,locality,Vadodara,,,Pani Gate,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:yakutpura:71f9f9f7,Yakutpura,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:navapura:febfd367,Navapura,locality,Vadodara,,,Nava Pura,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:salatwada:9f85fdd0,Salatwada,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:kothi:4c4aff27,Kothi,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:sursagar:8beef959,Sursagar,locality,Vadodara,,,Sur Sagar,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:warasiya:0a4f4855,Warasiya,locality,Vadodara,,,Warsiya,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:kishanwadi:5ea8e56e,Kishanwadi,locality,Vadodara,,,Kishan Wadi,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:jetalpur-road:8f58ecc4,Jetalpur Road,locality,Vadodara,,,Jetalpur,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:new-vip-road:d344705c,New VIP Road,locality,Vadodara,,,VIP Road,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:sardar-estate:35c2caba,Sardar Estate,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:productivity-road:ef523670,Productivity Road,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
area:karelibaug-water-tank-road:3b9dff17,Karelibaug Water Tank Road,locality,Vadodara,,,,single_source_needs_review,0.4,True,,src.seed.curated,2026-07-20T14:26:48+00:00
